,SYMBOL, DATE1, SERIES, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, CLOSE_PRICE, TTL_TRD_QNTY, NO_OF_TRADES, DELIV_QTY, DELIV_PER,HiLo,Wick,ClOP_per,Wick_Percentage,HiLo_Percentage,vol_dis,Factor,Per_vol_Updown,delivery_Factor,delivery_density
0,2020-11-02,AARTIIND, EQ,inf,inf,inf,1010.0,144126,6652,70115.0,48.65,38.0,20.0,-1.78,1.98,3.69921875,38981.78,20.86,100.0,31.76,100.0
1,2020-11-03,AARTIIND, EQ,inf,inf,inf,1016.65,92913,6983,53905.0,58.02,22.0,20.35,0.16,2.0,2.150390625,43168.29,231.59,9.7,42.18,24.7
2,2020-11-04,AARTIIND, EQ,inf,inf,inf,1019.1,119173,6278,62854.0,52.74,20.5,11.4,0.89,1.12,2.0,59586.5,23.52,27.55,52.78,20.09
3,2020-11-05,AARTIIND, EQ,inf,inf,inf,1076.95,554495,26676,334153.0,60.26,66.5,14.55,4.82,1.35,6.12890625,90472.1,5.26,34.14,86.5,38.98
4,2020-11-06,AARTIIND, EQ,inf,inf,inf,1105.05,452197,27574,200967.0,44.44,52.0,35.95,1.45,3.25,4.578125,98689.2,42.06,8.33,66.53,-30.02
5,2020-11-09,AARTIIND, EQ,inf,inf,inf,1117.7,183888,12184,89619.0,48.74,34.0,32.7,-0.12,2.93,3.009765625,61017.92,472.33,-61.74,45.37,-46.62
6,2020-11-10,AARTIIND, EQ,inf,inf,inf,1081.9,281149,18394,131026.0,46.6,100.0,52.9,-4.35,4.89,8.8515625,31762.64,21.09,-92.11,22.56,-101.17
7,2020-11-11,AARTIIND, EQ,inf,inf,inf,1047.8,250628,14763,121725.0,48.57,49.0,16.8,-3.07,1.6,4.5390625,55263.37,9.8,42.52,42.76,47.26
8,2020-11-12,AARTIIND, EQ,inf,inf,inf,1083.8,315697,14793,146747.0,46.48,50.0,26.2,2.2,2.42,4.55859375,69253.16,20.67,20.2,50.52,15.36
9,2020-11-14,AARTIIND, EQ,inf,inf,inf,1101.3,31169,2910,17074.0,54.78,16.0,7.3,-0.79,0.66,1.4404296875,21682.78,15.76,-219.39,18.37,-175.03
10,2020-11-17,AARTIIND, EQ,inf,inf,inf,1128.15,474494,16016,327563.0,69.03,31.0,12.85,1.61,1.14,2.720703125,174652.0,13.29,87.59,181.9,89.9
11,2020-11-18,AARTIIND, EQ,inf,inf,inf,1145.45,347906,13707,224607.0,64.56,51.0,35.55,1.35,3.1,4.421875,78817.64,43.21,-121.59,75.81,-139.93
12,2020-11-19,AARTIIND, EQ,inf,inf,inf,1148.1,451665,15085,328494.0,72.73,23.0,21.1,-0.17,1.84,1.990234375,226607.04,208.53,65.22,245.86,69.16
13,2020-11-20,AARTIIND, EQ,inf,inf,inf,1122.8,353439,27096,180704.0,51.13,38.0,12.8,-2.24,1.14,3.310546875,106761.52,9.54,-112.26,81.86,-200.34
14,2020-11-23,AARTIIND, EQ,inf,inf,inf,1135.55,193753,20122,112363.0,57.99,29.0,18.45,0.93,1.62,2.529296875,76485.38,32.84,-39.58,66.7,-22.73
15,2020-11-24,AARTIIND, EQ,inf,inf,inf,1145.65,421807,23232,320650.0,76.02,26.0,18.35,0.67,1.6,2.240234375,188451.29,45.04,59.41,212.3,68.58
