"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"MINDAIND","Minda Industries Limited","7(2)","RAJESH KUMAR TIWARI","Employees/Designated Employees","Equity Shares","518","0",,"2","1045","Sell","Equity Shares","516","0","06-Apr-2021","06-Apr-2021","12-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","13-Apr-2021 23:04","https://archives.nseindia.com/corporate/xbrl/IT_1098512_432515_13042021110415_WEB.xml"
"PHOENIXLTD","The Phoenix Mills Limited","7(2)","Amla Ashokkumar Ruia","Promoter Group","Equity Shares","636737","0.37",,"186442","138489118","Sell","Equity Shares","450295","0.26","07-Apr-2021","07-Apr-2021","09-Apr-2021","Inter-se-Transfer","-","-","0","0","0","0","NA","-","13-Apr-2021 23:01","https://archives.nseindia.com/corporate/xbrl/IT_1098511_432512_13042021110151_WEB.xml"
"PHOENIXLTD","The Phoenix Mills Limited","7(2)","Sharmila Dalmia Family Trust","Promoter Group","Equity Shares","Nil","0",,"186442","138489118","Buy","Equity Shares","186442","0.1","07-Apr-2021","07-Apr-2021","09-Apr-2021","Inter-se-Transfer","-","-","0","0","0","0","NA","-","13-Apr-2021 23:01","https://archives.nseindia.com/corporate/xbrl/IT_1098511_432512_13042021110151_WEB.xml"
"MINDAIND","Minda Industries Limited","7(2)","SUNIL KUMAR SRIVASTAVA","Employees/Designated Employees","Equity Shares","44000","0.02",,"44000","23777600","Pledge Revoke","Equity Shares","44000","0.02","08-Apr-2021","08-Apr-2021","12-Apr-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","13-Apr-2021 22:43","https://archives.nseindia.com/corporate/xbrl/IT_1098509_432499_13042021104333_WEB.xml"
"ASTRAL","Astral Poly Technik Limited","7(2)","Krunal Devendrakumar Bhatt","Key Managerial Personnel","Equity Shares","14000","0",,"14000","20102809","Sell","Equity Shares","Nil","0","13-Apr-2021","13-Apr-2021","13-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","13-Apr-2021 22:07","https://archives.nseindia.com/corporate/xbrl/IT_1098507_432485_13042021100756_WEB.xml"
"ASTRAL","Astral Poly Technik Limited","7(2)","Krunal Devendrakumar Bhatt","Key Managerial Personnel","Equity Shares","18000","0",,"4000","5731507","Sell","Equity Shares","14000","0","13-Apr-2021","13-Apr-2021","13-Apr-2021","Market Sale","-","-","0","0","0","0","BSE","-","13-Apr-2021 22:07","https://archives.nseindia.com/corporate/xbrl/IT_1098507_432485_13042021100756_WEB.xml"
"ASTRAL","Astral Poly Technik Limited","7(2)","Krunal Devendrakumar Bhatt","Key Managerial Personnel","Equity Shares","23129","0",,"1000","1598488","Sell","Equity Shares","22129","0","09-Apr-2021","09-Apr-2021","13-Apr-2021","Market Sale","-","-","0","0","0","0","BSE","-","13-Apr-2021 22:07","https://archives.nseindia.com/corporate/xbrl/IT_1098507_432485_13042021100756_WEB.xml"
"ASTRAL","Astral Poly Technik Limited","7(2)","Krunal Devendrakumar Bhatt","Key Managerial Personnel","Equity Shares","22129","0",,"4129","6598273","Sell","Equity Shares","18000","0","09-Apr-2021","09-Apr-2021","13-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","13-Apr-2021 22:07","https://archives.nseindia.com/corporate/xbrl/IT_1098507_432485_13042021100756_WEB.xml"
"INFY","Infosys Limited","7(2)","Arun Kumar H. R.","Employees/Designated Employees","Equity Shares","70224","0",,"4186","6023654","Buy","Equity Shares","74410","0","08-Apr-2021","08-Apr-2021","09-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","13-Apr-2021 21:53","https://archives.nseindia.com/corporate/xbrl/IT_1098506_432475_13042021095343_WEB.xml"
"INFY","Infosys Limited","7(2)","Infosys Employee Benefits Trust","Other","Equity Shares","15514732","0.38",,"86459","124673878","Sell","Equity Shares","15428273","0.38","08-Apr-2021","08-Apr-2021","09-Apr-2021","Off Market","-","-","0","0","0","0","NA","-","13-Apr-2021 21:53","https://archives.nseindia.com/corporate/xbrl/IT_1098506_432475_13042021095343_WEB.xml"
"INFY","Infosys Limited","7(2)","Koushik R. N.","Employees/Designated Employees","Equity Shares","107066","0",,"6575","9461425","Buy","Equity Shares","113641","0","08-Apr-2021","08-Apr-2021","09-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","13-Apr-2021 21:53","https://archives.nseindia.com/corporate/xbrl/IT_1098506_432475_13042021095343_WEB.xml"
"INFY","Infosys Limited","7(2)","Binod Rangadore Hampapur","Employees/Designated Employees","Equity Shares","2451848","0",,"10724","15431836","Buy","Equity Shares","2462572","0","08-Apr-2021","08-Apr-2021","09-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","13-Apr-2021 21:53","https://archives.nseindia.com/corporate/xbrl/IT_1098506_432475_13042021095343_WEB.xml"
"INFY","Infosys Limited","7(2)","Nabarun Roy","Employees/Designated Employees","Equity Shares","10665","0",,"3937","5665343","Buy","Equity Shares","14602","0","08-Apr-2021","08-Apr-2021","09-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","13-Apr-2021 21:53","https://archives.nseindia.com/corporate/xbrl/IT_1098506_432475_13042021095343_WEB.xml"
