"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"PRABHAT","Prabhat Dairy Limited","India Agri Business Fund Ltd.","05-APR-2021 to 05-APR-2021",,"14038044","0","Reg29(2)","13-Apr-2021, 18-58"
"VMARCIND","V Marc India Limited","Pratik M Sheth","09-APR-2021 to 09-APR-2021","1239000",,"2079000","Reg29(1)","13-Apr-2021, 17-14"
"SREEL","Sreeleathers Limited","Satyabrata Dey alongwith PACs","09-MAR-2021 to 06-APR-2021","0",,"16738824","Reg29(2)","13-Apr-2021, 17-12"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","Life Insurance Corporation of India","06-APR-2021 to 06-APR-2021","1200000",,"61916149","Reg29(1)","13-Apr-2021, 17-10"
"NACLIND","NACL Industries Limited","Mrs K Lakshmi Raju","08-APR-2021 to 08-APR-2021","1580000",,"12705860","Reg29(2)","13-Apr-2021, 14-58"
"SIDDHIKA","Siddhika Coatings Limited","Siddhika Business Applications Private Ltd","07-APR-2021 to 07-APR-2021","40000",,"1490000","Reg29(1)","13-Apr-2021, 14-56"
"AGARIND","Agarwal Industrial Corporation Limited","Nexpact Ltd","09-APR-2021 to 09-APR-2021","1000000",,"1000000","Reg29(1)","13-Apr-2021, 12-14"
"APOLLOHOSP","Apollo Hospitals Enterprise Limited","Sands Capital Management LLC","31-MAR-2021 to 31-MAR-2021","5626282",,"12594059","Reg29(1)","13-Apr-2021, 12-14"
"MCLEODRUSS","Mcleod Russel India Limited","Niraj Rajnikant Shah","09-APR-2021 to 09-APR-2021","2128824",,"7512737","Reg29(2)","13-Apr-2021, 12-14"
"AGARIND","Agarwal Industrial Corporation Limited","Mr Lalit Agarwal along with PAC","09-APR-2021 to 09-APR-2021","1188042",,"7274434","Reg29(2)","12-Apr-2021, 20-20"
"MAJESCO","Majesco Limited","RAJASTHAN GLOBAL SECURITIES PVT. LTD","12-APR-2021 to 12-APR-2021","244767",,"1490885","Reg29(1)","12-Apr-2021, 20-18"
"SHRENIK","Shrenik Limited","Shrenik Vimawala","09-APR-2021 to 09-APR-2021",,"2000000","359409000","Reg29(2)","12-Apr-2021, 19-22"
"MPHASIS","MphasiS Limited","Aberdeen Standard Investments (Asia) Limited","06-APR-2021 to 06-APR-2021",,"46000","5945963","Reg29(2)","12-Apr-2021, 19-20"
"RVNL","Rail Vikas Nigam Limited","The President of India acting through and Represented by the  Ministry  of Railways  Government  of India","08-APR-2021 to 08-APR-2021",,"127923","1630500971","Reg29(2)","12-Apr-2021, 19-20"
"AGARIND","Agarwal Industrial Corporation Limited","Mr Lalit Agarwal along with PAC","09-APR-2021 to 09-APR-2021","1711000",,"1711000","Reg29(2)","12-Apr-2021, 19-18"
"AGARIND","Agarwal Industrial Corporation Limited","Mr Lalit Agarwal along with PAC","09-APR-2021 to 09-APR-2021","1188042",,"7274434","Reg29(2)","12-Apr-2021, 19-18"
"BARBEQUE","Barbeque Nation Hospitality Limited","UTI Mutual Fund along with PAC","08-APR-2021 to 08-APR-2021","666471",,"1884183","Reg29(1)","12-Apr-2021, 16-46"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","DSP Trustee Private Limited on behalf of schemes of DSP Mutual Fund","06-APR-2021 to 06-APR-2021","602198",,"20823772","Reg29(1)","12-Apr-2021, 16-46"
"NACLIND","NACL Industries Limited","K.Lakshmi Raju","08-APR-2021 to 08-APR-2021","1580000",,"12705860","Reg29(2)","12-Apr-2021, 16-46"
"THOMASCOOK","Thomas Cook  (India)  Limited","Fairbridge Capital (Mauritius) Limited","02-APR-2021 to 02-APR-2021","435657000",,"435657000","Reg29(2)","12-Apr-2021, 13-34"
"BIL","Bhartiya International Limited","Rapid Estates Pvt Ltd","31-MAR-2021 to 31-MAR-2021","600500",,"790500","Reg29(1)","12-Apr-2021, 13-28"
"PRABHAT","Prabhat Dairy Limited","Madhyam Farming Solutions Private Limited (Acquirer) along with Mr. Sarangdhar Ramchandra Nirmal, Mr. Vivek Sarangdhar Nirmal, and Nirmal Family Trust","06-APR-2021 to 06-APR-2021","44283727",,"93219311","Reg29(2)","09-Apr-2021, 20-26"
"PRABHAT","Prabhat Dairy Limited","Societe De Promotion Et De Participation Pour LA Cooperaion Economique","05-APR-2021 to 05-APR-2021",,"8477429","0","Reg29(2)","09-Apr-2021, 20-26"
"DEEPAKNTR","Deepak Nitrite Limited","Franklin Templeton Mutual Fund","06-APR-2021 to 06-APR-2021",,"25000","4268090","Reg29(2)","09-Apr-2021, 19-18"
"INFIBEAM","Infibeam Avenues Limited","Ravi Omprakash Agrawal","01-MAR-2021 to 31-MAR-2021","1876241",,"121996261","Reg29(1)","09-Apr-2021, 16-12"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","DSP Trustee Private Limited on behalf of schemes of DSP Mutual Fund","06-APR-2021 to 06-APR-2021","602198",,"20823772","Reg29(1)","09-Apr-2021, 09-16"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","31-MAR-2021 to 31-MAR-2021","1000",,"2460583","Reg29(2)","09-Apr-2021, 09-16"
"LCCINFOTEC","LCC Infotech Limited","Prashant Lakhotia","06-APR-2021 to 06-APR-2021",,"3700000","7194142","Reg29(2)","09-Apr-2021, 09-16"
"MITCON","MITCON Consultancy & Engineering Services Limited","BEESLEY CONSULTANCY PRIVATE LIMITED","30-MAR-2021 to 01-APR-2021","572000",,"1497068","Reg29(2)","09-Apr-2021, 09-16"
"MONTECARLO","Monte Carlo Fashions Limited","Kanchi Investments Limited","08-APR-2021 to 08-APR-2021",,"799489","0","Reg29(2)","09-Apr-2021, 09-16"
"LCCINFOTEC","LCC Infotech Limited","Mr. Pratik Lakhotia","06-APR-2021 to 06-APR-2021",,"3700000","7513205","Reg29(2)","08-Apr-2021, 18-06"
"SUPREMEENG","Supreme Engineering Limited","Sanjay Chowdhri HUF","31-MAR-2021 to 31-MAR-2021",,"81439","5758561","Reg29(2)","08-Apr-2021, 15-28"
"NCLIND","NCL Industries Limited","Mr.Ashven Datla","31-MAR-2021 to 31-MAR-2021","1000",,"1749155","Reg29(2)","07-Apr-2021, 14-20"
"NCLIND","NCL Industries Limited","Mr.Ashven Datla","31-MAR-2021 to 31-MAR-2021","58200",,"1748155","Reg29(2)","07-Apr-2021, 14-20"
"BHARATWIRE","Bharat Wire Ropes Limited","Murarilal Ramsukh Mittal along with PAC","30-MAR-2021 to 30-MAR-2021","5613636",,"23698494","Reg29(2)","07-Apr-2021, 14-18"
"DSSL","Dynacons Systems & Solutions Limited","Shirish Anjaria along with PAC","31-MAR-2021 to 31-MAR-2021","960000",,"5194984","Reg29(2)","07-Apr-2021, 14-16"
