"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","BROADCAST DATE"
" Ashiana Housing Limited","102352099","62658716","    61.22","39693383","0","     0.00","     0.00","09-Apr-2021 11:30:32","1620438","99891643","1.62","09-Apr-2021 11:30:32"
"20 Microns Limited","35286502","15819019","    44.83","19467483","8500547","    53.74","    24.09","09-Apr-2021 11:30:29","11302169","35157864","32.15","09-Apr-2021 11:30:29"
"21st Century Management Services Limited","10500000","6365957","    60.63","4134043","0","     0.00","     0.00","09-Apr-2021 11:30:13","82893","9459516","0.88","09-Apr-2021 11:30:13"
"3M India Limited","11265070","8448802","    75.00","2816268","0","     0.00","     0.00","09-Apr-2021 11:30:14","141639","11207153","1.26","09-Apr-2021 11:30:14"
"3P Land Holdings Limited","18000000","13175193","    73.20","4824807","0","     0.00","     0.00","09-Apr-2021 11:30:11","94122","17658160","0.53","09-Apr-2021 11:30:11"
"3i Infotech Limited","1616654866","0","     0.00","1616654866","0",,"     0.00","09-Apr-2021 11:30:22","49907972","1610048115","3.1","09-Apr-2021 11:30:22"
"63 moons technologies limited","46078537","21025878","    45.63","25052659","0","     0.00","     0.00","09-Apr-2021 11:30:22","974288","46012270","2.12","09-Apr-2021 11:30:22"
"A2Z Infra Engineering Limited","176119858","49560983","    28.14","126558875","49550601","    99.98","    28.13","09-Apr-2021 11:30:31","57085751","176114915","32.41","09-Apr-2021 11:30:31"
"ABB India Limited","211908375","158931281","    75.00","52977094","0","     0.00","     0.00","09-Apr-2021 11:30:11","618165","210430769","0.29","09-Apr-2021 11:30:11"
"ACC Limited","187787263","102395120","    54.53","85392143","0","     0.00","     0.00","09-Apr-2021 11:30:06","740513","184833527","0.4","09-Apr-2021 11:30:06"
"ADF Foods Limited","20022719","6295735","    31.44","13726984","0","     0.00","     0.00","09-Apr-2021 11:30:31","4484600","19371868","23.15","09-Apr-2021 11:30:31"
"AGC Networks Limited","29820103","20554952","    68.93","9265151","2132035","    10.37","     7.15","09-Apr-2021 11:30:09","2308787","29584217","7.8","09-Apr-2021 11:30:09"
"AIA Engineering Limited","94320370","55148921","    58.47","39171449","0","     0.00","     0.00","09-Apr-2021 11:30:23","167410","94320240","0.18","09-Apr-2021 11:30:23"
"AMD Industries Limited","19166749","12773523","    66.64","6393226","0","     0.00","     0.00","09-Apr-2021 11:30:26","167291","19166651","0.87","09-Apr-2021 11:30:26"
"ANDHRA PAPER LIMITED","39770039","28713400","    72.20","11056639","20282720","    70.64","    51.00","09-Apr-2021 11:30:14","21057937","39586306","53.2","09-Apr-2021 11:30:14"
"APL Apollo Tubes Limited","124784125","49251935","    39.47","75532190","0","     0.00","     0.00","09-Apr-2021 11:30:32","2109679","124895990","1.69","09-Apr-2021 11:30:32"
"ARSS Infrastructure Projects Limited","22737966","10619468","    46.70","12118498","2646648","    24.92","    11.64","09-Apr-2021 11:30:30","4040821","22725239","17.78","09-Apr-2021 11:30:30"
"ATN International Limited","39450000","65444","     0.17","39384556","0","     0.00","     0.00","09-Apr-2021 11:30:24","276364","36530014","0.76","09-Apr-2021 11:30:24"
"AU Small Finance Bank Limited","306758558","88899206","    28.98","217859352","0","     0.00","     0.00","09-Apr-2021 11:30:34","5656253","312213390","1.81","09-Apr-2021 11:30:34"
"AVT Natural Products Limited","152284000","114155975","    74.96","38128025","0","     0.00","     0.00","09-Apr-2021 11:30:25","1535559","146323922","1.05","09-Apr-2021 11:30:25"
"AXISCADES Technologies Limited","37759530","25656547","    67.95","12102983","17473900","    68.11","    46.28","09-Apr-2021 11:30:19","18566611","37720085","49.22","09-Apr-2021 11:30:19"
"Aarti Drugs Limited","93200000","56102800","    60.20","37097200","0","     0.00","     0.00","09-Apr-2021 11:30:16","2705159","91919622","2.94","09-Apr-2021 11:30:16"
"Aarti Industries Limited","174234474","82478200","    47.34","91756274","0","     0.00","     0.00","09-Apr-2021 11:30:14","3729736","172963254","2.16","09-Apr-2021 11:30:14"
"Aarvee Denims & Exports Limited","23459800","15436303","    65.80","8023497","7872515","    51.00","    33.56","09-Apr-2021 11:30:25","7978269","23026087","34.65","09-Apr-2021 11:30:25"
"Aban Offshore Limited","58365323","26846160","    46.00","31519163","5200000","    19.37","     8.91","09-Apr-2021 11:30:11","6819359","58110235","11.74","09-Apr-2021 11:30:11"
"Abhishek Corporation Limited","16008462","9225416","    57.63","6783046","8164316","    88.50","    51.00","09-Apr-2021 11:30:26","8180579","16007902","51.1","09-Apr-2021 11:30:26"
"Accelya Solutions India Limited","14926261","13325058","    89.27","1601203","0","     0.00","     0.00","09-Apr-2021 11:30:18","70608","14841076","0.48","09-Apr-2021 11:30:18"
"Action Construction Equipment Limited","113483196","82997463","    73.14","30485733","0","     0.00","     0.00","09-Apr-2021 11:30:25","3112260","113451169","2.74","09-Apr-2021 11:30:25"
"Adani Enterprises Limited","1099810083","823963481","    74.92","275846602","136807649","    16.60","    12.44","09-Apr-2021 11:30:09","56204519","1099558525","5.11","09-Apr-2021 11:30:09"
"Adani Green Energy Limited","1564014280","1171710710","    74.92","392303570","61873504","     5.28","     3.96","09-Apr-2021 11:30:35","9175585","1563827937","0.59","09-Apr-2021 11:30:35"
"Adani Ports and Special Economic Zone Limited","2031751761","1294991018","    63.74","736760743","494056389","    38.15","    24.32","09-Apr-2021 11:30:28","217618970","2031402976","10.71","09-Apr-2021 11:30:28"
"Adani Power Limited","3856938941","2891612567","    74.97","965326374","844725587","    29.21","    21.90","09-Apr-2021 11:30:29","415545391","3856447166","10.78","09-Apr-2021 11:30:29"
"Adani Transmission Limited","1099810083","823963481","    74.92","275846602","228805142","    27.77","    20.80","09-Apr-2021 11:30:34","100435720","1099541210","9.13","09-Apr-2021 11:30:34"
"Adhunik Industries Limited","46763750","35054800","    74.96","11708950","23849513","    68.03","    51.00","09-Apr-2021 11:30:34","24202261","46763749","51.75","09-Apr-2021 11:30:34"
