"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Bharat Wire Ropes Limited","37.87","62.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155790_420449_01042021123511_WEB.xml"
"Brigade Enterprises Limited","48.03","51.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155797_420986_02042021051038_WEB.xml"
"Nava Bharat Ventures Limited","45.53","54.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155798_421007_02042021053150_WEB.xml"
"Nava Bharat Ventures Limited","45.53","54.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155800_421014_02042021053943_WEB.xml"
"The South Indian Bank Limited","0","100",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155801_421087_02042021083002_WEB.xml"
"Kuantum Papers Limited","70.3","29.7",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155810_421141_03042021104736_WEB.xml"
"Visu International Limited","14.42","85.58",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155813_421155_03042021105954_WEB.xml"
"Global Education Limited","74.95","25.05",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155814_421175_03042021113140_WEB.xml"
"Dangee Dums Limited","64.45","35.56",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155815_421180_03042021113452_WEB.xml"
"AVRO INDIA LIMITED","69.64","30.36",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155816_421188_03042021114055_WEB.xml"
"Hindustan Zinc Limited","64.92","35.08",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155817_421190_03042021114102_WEB.xml"
"Vipul Limited","63.43","36.57",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155819_421280_03042021031712_WEB.xml"
"Rane (Madras) Limited","69.45","30.55",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155820_421288_03042021032529_WEB.xml"
"Rane Holdings Limited","46.4","53.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155821_421299_03042021034529_WEB.xml"
"De Nora India Limited","53.68","46.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155822_421312_03042021035406_WEB.xml"
"Rane Brake Lining Limited","68.33","31.67",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155823_421323_03042021035811_WEB.xml"
"Rane Engine Valve Limited","54.84","45.16",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155825_421336_03042021040354_WEB.xml"
"Shradha Infraprojects Limited","74.92","25.08",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155826_421353_03042021042446_WEB.xml"
"Keerti Knowledge and Skills Limited","60.14","39.85",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155830_421371_03042021051719_WEB.xml"
"Talbros Automotive Components Limited","58.16","41.84",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155832_421423_05042021093447_WEB.xml"
"Likhitha Infrastructure Limited","74.11","25.89",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155833_421449_05042021102624_WEB.xml"
"Mangalore Refinery and Petrochemicals Limited","88.58","11.42",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155840_421524_05042021120952_WEB.xml"
"Tembo Global Industries Limited","72.77","27.23",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155841_421533_05042021121510_WEB.xml"
"Marshall Machines Limited","73.39","26.61",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155842_421540_05042021121907_WEB.xml"
"Mayur Uniquoters Ltd","61.56","38.44",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155844_421574_05042021123901_WEB.xml"
"Surya Roshni Limited","62.96","35.57",,"1.47","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155845_421579_05042021124110_WEB.xml"
"Compuage Infocom Limited","58.33","41.67",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155846_421592_05042021124957_WEB.xml"
"Wealth First Portfolio Managers Limited","74","26.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155849_421614_05042021010343_WEB.xml"
"Axis Bank Limited","13.58","86.42",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155850_421625_05042021011221_WEB.xml"
"Apollo Pipes Limited","52.03","47.2",,"0.76","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155851_421660_05042021013514_WEB.xml"
"Adhunik Industries Limited","74.96","25.04",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155852_421666_05042021013929_WEB.xml"
"CMM Infraprojects Limited","63.14","36.87",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155853_421677_05042021014723_WEB.xml"
"Ambuja Cements Limited","63.29","36.71",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155856_421735_05042021024953_WEB.xml"
