,SYMBOL, DATE1, SERIES, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, CLOSE_PRICE, TTL_TRD_QNTY, NO_OF_TRADES, DELIV_QTY, DELIV_PER,HiLo,Wick,ClOP_per,Wick_Percentage,HiLo_Percentage,vol_dis,Factor,Per_vol_Updown,delivery_Factor,delivery_density
0,2020-11-03,AARTIIND, EQ,1015.0,1022.0,1000.0,1016.65,92913,6983,53905.0,58.02,22.0,20.350000000000023,0.16229774258594887,2.0016721585599697,2.15234375,43168.290381125225,252.12397255994387,99.99999999999999,47.49444092424083,100.0
1,2020-11-04,AARTIIND, EQ,1010.0,1025.0,1004.5,1019.1,119173,6278,62854.0,52.74,20.5,11.399999999999977,0.8929447551761314,1.1186340889019704,2.0,59586.5,25.60926599807066,27.553572736903114,59.43133287943254,20.085182978157178
2,2020-11-05,AARTIIND, EQ,1025.0,1085.0,1018.5,1076.95,554495,26676,334153.0,60.26,66.5,14.549999999999955,4.823807976229176,1.3510376526300973,6.12890625,90472.09687699171,5.725469605515576,34.138256924656666,97.40026297990761,38.9823691834462
3,2020-11-06,AARTIIND, EQ,1089.0,1135.0,1083.0,1105.05,452197,27574,200967.0,44.44,52.0,35.950000000000045,1.4524229672865374,3.2532464594362267,4.58203125,98689.20034100597,45.788617395960365,8.326243839874344,74.91310810431527,-30.01765037472393
4,2020-11-09,AARTIIND, EQ,1119.0,1128.0,1094.0,1117.7,183888,12184,89619.0,48.74,34.0,32.700000000000045,-0.1163102800393574,2.925650890220993,3.013671875,61017.92352559948,514.2071041191952,-61.738051114771004,51.09255096175181,-46.62236802463762
5,2020-11-10,AARTIIND, EQ,1129.0,1130.0,1030.0,1081.9,281149,18394,131026.0,46.6,100.0,52.90000000000009,-4.353452259913112,4.889546168777159,8.8515625,31762.64077669903,22.95981778003357,-92.10595225558835,25.397671007118216,-101.17022126726533
6,2020-11-11,AARTIIND, EQ,1080.0,1080.0,1031.0,1047.8,250628,14763,121725.0,48.57,49.0,16.799999999999955,-3.073105554495143,1.6033594197365915,4.53515625,55263.366063738154,10.66564396258314,42.52496176207308,48.15264120100583,47.25591291846376
7,2020-11-12,AARTIIND, EQ,1060.0,1097.0,1047.0,1083.8,315697,14793,146747.0,46.48,50.0,26.200000000000045,2.1959771175493614,2.4174201882266146,4.55859375,69253.15509854327,22.50391124598262,20.20094104723236,56.889961187574634,15.358280800650512
8,2020-11-14,AARTIIND, EQ,1110.0,1113.0,1097.0,1101.3,31169,2910,17074.0,54.78,16.0,7.2999999999999545,-0.7899754835194841,0.6628529919186406,1.4375,21682.782608695652,17.152889093081374,-219.39237849836684,20.68481803113201,-175.03244699543166
9,2020-11-17,AARTIIND, EQ,1110.0,1141.0,1110.0,1128.15,474494,16016,327563.0,69.03,31.0,12.849999999999909,1.6088286132163319,1.1390329300181605,2.716796875,174651.99712437094,14.473053595690624,87.58515049028887,204.81867691624527,89.90091219093732
